Title,Adress,Living Area,Rooms,Status,Price
Bilderdijkkade 71 C,1053 VK Amsterdam,85 m²,4 rooms,Available on 6/1/2022,"€ 2,200 p/mo."
Kribbestraat 60 -hs,1079 WV Amsterdam,50 m²,3 rooms,Available on 6/2/2022,"€ 1,575 p/mo."
Weteringschans 157 4/5,1017 SE Amsterdam,82 m²,4 rooms,Available immediately,"€ 2,495 p/mo."
S. F. van Ossstraat 290,1068 JR Amsterdam,76 m²,3 rooms,Available in consultation,"€ 1,600 p/mo."
Eerste Constantijn Huygensstraat 73 I,1054 BT Amsterdam,116 m²,3 rooms,Available immediately,"€ 2,250 p/mo."
Hellingstraat 100,1033 WW Amsterdam,69 m²,3 rooms,Available immediately,"€ 1,559 p/mo."
Hellingstraat 190,1033 WW Amsterdam,67 m²,3 rooms,Available immediately,"€ 1,500 p/mo."
Prinsengracht 420 a,1016 JC Amsterdam,119 m²,4 rooms,Available immediately,"€ 3,000 p/mo."
Laagte Kadijk 55,1018 BB Amsterdam,87 m²,3 rooms,Available on 6/1/2022,"€ 1,950 p/mo."
Nicolaas Witsenkade 27 D,1017 ZT Amsterdam,85 m²,3 rooms,Available on 6/1/2022,"€ 2,750 p/mo."
Jacques Veltmanstraat 189,1065 DB Amsterdam,85 m²,3 rooms,Available immediately,"€ 1,750 p/mo."
Jacob van Wassenaar Obdamstraat 18 I,1057 JR Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,850 p/mo."
Nieuwezijds Voorburgwal 175 2,1012 RK Amsterdam,47 m²,2 rooms,Available in consultation,"€ 1,300 p/mo."
Hoofdweg 127 G,1058 BB Amsterdam,70 m²,3 rooms,Available in consultation,"€ 2,145 p/mo."
Bilderdijkkade 19 A1,1053 VB Amsterdam,80 m²,3 rooms,Available in consultation,"€ 2,150 p/mo."
Crynssenstraat 34 H,1058 XW Amsterdam,55 m²,2 rooms,Available on 6/8/2022,"€ 1,800 p/mo."
Deurloostraat 109 II,1078 HW Amsterdam,83 m²,4 rooms,Available on 6/7/2022,"€ 2,400 p/mo."
Dongestraat 4 I,1078 JW Amsterdam,140 m²,6 rooms,Available in consultation,"€ 2,800 p/mo."
Brouwersgracht 284 G,1013 HG Amsterdam,112 m²,2 rooms,Available in consultation,"€ 3,000 p/mo."
Schokkerspad 23,1081 KR Amsterdam,200 m²,5 rooms,Available in consultation,"€ 3,600 p/mo."
Amazonenstraat 35 2,1076 LE Amsterdam,110 m²,5 rooms,Available immediately,"€ 2,800 p/mo."
Pieter Cornelisz. Hooftstraat 90,1071 CC Amsterdam,105 m²,2 rooms,Available in consultation,"€ 2,800 p/mo."
